date,prescriptions_100,pills_100,total_prescribed_dose_100,total_dose_per_prescription_100,average_daily_dose_100,prescriptions_300,pills_300,total_prescribed_dose_300,total_dose_per_prescription_300,average_daily_dose_300,prescriptions_400,pills_400,total_prescribed_dose_400,total_dose_per_prescription_400,average_daily_dose_400,prescriptions_600,pills_600,total_prescribed_dose_600,total_dose_per_prescription_600,average_daily_dose_600,prescriptions_800,pills_800,total_prescribed_dose_800,total_dose_per_prescription_800,average_daily_dose_800,prescriptions_total,pills_total,dose_total,dose_per_prescription_total,average_daily_dose
2017-05-01,161798,15088606,1508860600,9325.582516471155,310.8527505490385,356698,40121762,12036528600,33744.311995020995,1124.8103998340332,27637,2791477,1116590800,40402.02626913196,1346.7342089710653,47619,4319062,2591437200,54420.23562023562,1814.007854007854,2786,219772,175817600,63107.53768844221,2103.5845896147403,596538,62540679,17429234800,29217.308536924724,973.9102845641575
2017-06-01,164653,15381661,1538166100,9341.86501308813,311.395500436271,362166,40662396,12198718800,33682.672586603934,1122.7557528867978,28014,2829278,1131711200,40398.058113800245,1346.6019371266748,48661,4377883,2626729800,53980.18536404924,1799.3395121349747,2772,216218,172974400,62400.5772005772,2080.01924001924,606266,63467436,17668300300,29142.818993643054,971.4272997881018
2017-07-01,160187,14924558,1492455800,9316.959553521821,310.5653184507274,353050,39725216,11917564800,33756.025492139925,1125.2008497379975,27528,2768739,1107495600,40231.604184829994,1341.0534728276664,46654,4185096,2511057600,53822.986239122045,1794.0995413040682,2642,206327,165061600,62476.00302800909,2082.5334342669694,590061,61809936,17193635400,29138.742265630164,971.2914088543388
2017-08-01,165369,15409540,1540954000,9318.276097696666,310.60920325655553,362850,40713437,12214031100,33661.37825547747,1122.0459418492492,28018,2804410,1121764000,40037.261760296955,1334.5753920098985,49034,4407424,2644454400,53931.03560794551,1797.701186931517,2782,213776,171020800,61474.047447879224,2049.1349149293073,608053,63548587,17692224300,29096.516751006904,969.8838917002302
2017-09-01,161669,15077322,1507732200,9326.043954004788,310.86813180015963,355081,39975532,11992659600,33774.43343913079,1125.8144479710265,27461,2779569,1111827600,40487.513200538946,1349.5837733512983,47673,4315497,2589298200,54313.72474985841,1810.457491661947,2701,211464,169171200,62632.80266567938,2087.7600888559796,594585,62359384,17370688800,29214.811675370216,973.8270558456738
2017-10-01,164771,15276840,1527684000,9271.55870875336,309.0519569584454,362452,40714183,12214254900,33698.95848277841,1123.2986160926137,28313,2835991,1134396400,40066.2734432946,1335.54244810982,48876,4409383,2645629800,54129.42548490057,1804.3141828300188,2730,209297,167437600,61332.45421245421,2044.4151404151405,607142,63445694,17689402700,29135.527932510024,971.1842644170008
2017-11-01,165037,15302733,1530273300,9272.304392348382,309.0768130782794,363133,40749938,12224981400,33665.30004158256,1122.176668052752,28654,2862552,1145020800,39960.242898024706,1332.0080966008236,49230,4437924,2662754400,54088.04387568556,1802.9347958561852,2857,223258,178606400,62515.365768288415,2083.845525609614,608911,63576405,17741636300,29136.665785311812,971.222192843727
2017-12-01,161565,15053543,1505354300,9317.329248290162,310.57764160967207,363068,41107834,12332350200,33967.053554706006,1132.2351184902002,28885,2909250,1163700000,40287.34637355029,1342.9115457850096,50058,4532955,2719773000,54332.434376123696,1811.08114587079,2739,215214,172171200,62859.1456736035,2095.3048557867833,606315,63818796,17893348700,29511.637845014557,983.7212615004852
2018-01-01,164340,15223624,1522362400,9263.492758914446,308.78309196381485,367757,41256282,12376884600,33655.06190228874,1121.835396742958,28913,2889184,1155673600,39970.725971016494,1332.3575323672164,50313,4535215,2721129000,54084.01407190984,1802.8004690636615,2747,213948,171158400,62307.38987986895,2076.9129959956317,614070,64118253,17947208000,29226.648427703683,974.2216142567894
2018-02-01,148972,13768587,1376858700,9242.39924281073,308.0799747603577,331014,37099334,11129800200,33623.35188239772,1120.778396079924,26347,2612623,1045049200,39664.82711504156,1322.1609038347187,45942,4105606,2463363600,53618.989160245525,1787.2996386748507,2553,196037,156829600,61429.533881707794,2047.6511293902597,554828,57782187,16171901300,29147.594029140564,971.5864676380188
2018-03-01,164541,15231735,1523173500,9257.106131602457,308.57020438674857,364823,40978530,12293559000,33697.32445596906,1123.244148532302,28698,2858970,1143588000,39849.04871419611,1328.301623806537,50830,4552937,2731762200,53743.10840055085,1791.4369466850285,2769,210581,168464800,60839.5810762008,2027.98603587336,611661,63832753,17860547500,29200.075695524156,973.3358565174718
2018-04-01,159880,14778882,1477888200,9243.734050537903,308.12446835126343,354091,39751300,11925390000,33678.88480644806,1122.6294935482688,28339,2813379,1125351600,39710.34969476693,1323.6783231588975,49349,4406733,2644039800,53578.386593446674,1785.9462197815558,2717,206927,165541600,60928.08244387192,2030.9360814623974,594376,61957221,17338211200,29170.442951936147,972.3480983978716
