date,month,prescriptions_25,pills_25,total_prescribed_dose_25,total_dose_per_prescription_25,average_daily_dose_25,prescriptions_50,pills_50,total_prescribed_dose_50,total_dose_per_prescription_50,average_daily_dose_50,prescriptions_75,pills_75,total_prescribed_dose_75,total_dose_per_prescription_75,average_daily_dose_75,prescriptions_100,pills_100,total_prescribed_dose_100,total_dose_per_prescription_100,average_daily_dose_100,prescriptions_150,pills_150,total_prescribed_dose_150,total_dose_per_prescription_150,average_daily_dose_150,prescriptions_200,pills_200,total_prescribed_dose_200,total_dose_per_prescription_200,average_daily_dose_200,prescriptions_225,pills_225,total_prescribed_dose_225,total_dose_per_prescription_225,average_daily_dose_225,prescriptions_300,pills_300,total_prescribed_dose_300,total_dose_per_prescription_300,average_daily_dose_300,prescriptions_total,pills_total,dose_total,dose_per_prescription_total,weight_25,weight_50,weight_75,weight_100,weight_150,weight_200,weight_225,weight_300,weighted_average_daily_dose_25,weighted_average_daily_dose_50,weighted_average_daily_dose_75,weighted_average_daily_dose_100,weighted_average_daily_dose_150,weighted_average_daily_dose_200,weighted_average_daily_dose_225,weighted_average_daily_dose_300,weighted_average_daily_dose_total
2018-05-01,14,57141,2969373,74234325,1299.1429096445634,43.30476365481878,77999,4257485,212874250,2729.192040923602,90.97306803078672,108737,5637422,422806650,3888.3420546823986,129.61140182274661,66546,3615328,361532800,5432.825413999339,181.09418046664462,109214,5312530,796879500,7296.495870492794,243.21652901642648,38133,1781296,356259200,9342.543204048987,311.4181068016329,14479,612278,137762550,9514.645348435666,317.15484494785557,110134,4406913,1322073900,12004.230301269363,400.1410100423121,582383,28592625,3684423175,51507.417143496714,0.1038510105315619,0.1489015086932382,0.19716349932893534,0.12644267534023196,0.18580070909893723,0.0622991418241592,0.021413843604775707,0.15412761157816046,4.497243466383384,13.546027080236739,25.55463753630147,22.89803266674932,45.18980355583428,19.401080802246085,6.791504248210268,61.67277817229428,199.5511075282558
2018-06-01,15,56031,2925160,73129000,1305.1525048633791,43.50508349544597,77197,4228761,211438050,2738.9412801015583,91.29804267005194,107074,5578184,418363800,3907.239852812074,130.24132842706913,66418,3594736,359473600,5412.2918485952605,180.40972828650868,106172,5170520,775578000,7304.920317974607,243.4973439324869,37374,1755969,351193800,9396.741049927758,313.2247016642586,13926,592431,133296975,9571.80633347695,319.06021111589837,107764,4293692,1288107600,11953.041832151739,398.4347277383913,571956,28139453,3610580825,51590.135019903326,0.10395226943466172,0.1502787207697321,0.19823356196724934,0.12774718826268586,0.1837462867526245,0.06240238571801662,0.021053394321488766,0.15258619277354113,4.522452161296054,13.720153061235822,25.818202449444282,23.046835523836627,44.74173278172117,19.54596864966375,6.717300436920461,60.79563817436355,198.90828323848172
2018-07-01,16,57553,2995502,74887550,1301.1928135805258,43.37309378601753,79305,4333629,216681450,2732.254586722149,91.0751528907383,108768,5645929,423444675,3893.099762797882,129.76999209326272,68321,3693922,369392200,5406.715358381757,180.2238452793919,108571,5275901,791385150,7289.102522773116,242.9700840924372,38609,1795738,359147600,9302.173068455542,310.07243561518476,14170,597894,134526150,9493.729710656316,316.4576570218772,109984,4360600,1308180000,11894.275530986326,396.47585103287753,585281,28699115,3677644775,51312.54335435361,0.10437611055253794,0.1510021824714804,0.1967283311697939,0.12871205261904417,0.18383497191463918,0.06257119775296206,0.02083318597106566,0.15194196754847666,4.527114832014962,13.752546855425239,25.529433980424923,23.196981056807566,44.66639858523071,19.401603686620323,6.59282122070448,60.24132089139214,197.90822110862035
2018-08-01,17,60058,3117133,77928325,1297.5511172533218,43.25170390844406,81790,4465101,223255050,2729.6130333781634,90.98710111260544,111853,5847393,438554475,3920.8110198206573,130.69370066068856,70611,3792264,379226400,5370.641967965331,179.0213989321777,112288,5424853,813727950,7246.793513109148,241.55978377030493,39739,1841499,368299800,9267.96849442613,308.93228314753765,14713,617418,138919050,9441.925508054102,314.7308502684701,113598,4487255,1346176500,11850.353879469709,395.01179598232363,604650,29592916,3786087550,51125.65853347656,0.10533375622733494,0.15088411699610813,0.19759434994510172,0.1281476958877591,0.18331593277255948,0.062227696655510395,0.020863709409373512,0.15163274210625272,4.555864435908917,13.728508409411079,25.82433682396847,22.941179787761907,44.28175708219122,19.22414440279922,6.566453002166405,59.89672178911539,197.0189657333226
2018-09-01,18,56229,2937379,73434475,1305.989347134041,43.532978237801366,76909,4230454,211522700,2750.2984046080433,91.67661348693477,104733,5475004,410625300,3920.686889519063,130.68956298396876,66717,3608077,360807700,5408.032435511189,180.26774785037296,104779,5089885,763482750,7286.600845589288,242.88669485297626,37316,1736527,347305400,9307.144388466073,310.2381462822024,13655,572658,128848050,9435.961186378616,314.53203954595386,105640,4177074,1253122200,11862.194244604316,395.40647482014384,565978,27827058,3549148575,51276.90774181063,0.1055583741551119,0.1520266353705088,0.19675109025179738,0.12966074243277892,0.18291135915266357,0.06240426134879224,0.020579178725972397,0.15010835856237478,4.59527040491218,13.937287090581302,25.713314001626795,23.373650022964345,44.426735475656145,19.3601823609594,6.472811056860802,59.353816900186764,197.23306731374774
2018-10-01,19,62436,3260681,81517025,1305.6093439682234,43.52031146560744,85935,4707880,235394000,2739.2098679234305,91.30699559744768,115275,6034627,452597025,3926.2374756018216,130.87458252006073,74190,4009160,400916000,5403.908882598733,180.13029608662444,115355,5603608,840541200,7286.560617225088,242.88535390750295,41016,1915621,383124200,9340.847474156426,311.36158247188087,14809,619854,139467150,9417.72908366534,313.9243027888446,115961,4568666,1370599800,11819.489311061478,393.9829770353826,624977,30720097,3904156400,51239.59205620054,0.10614162448770914,0.1532508181858931,0.1964390607230179,0.13050609833686397,0.1824085386188722,0.06235725753079491,0.02017747535107067,0.14871912676577811,4.619316557170648,13.992871781404595,25.708880062757824,23.50810213452943,44.30436245819519,19.415654383394912,6.334199881623958,58.592804305283714,196.47619156436028
2018-11-01,20,61093,3181535,79538375,1301.9228880559147,43.39742960186382,84762,4648332,232416600,2741.990514617399,91.39968382057997,112145,5863263,439744725,3921.2156137143875,130.70718712381293,72797,3934615,393461500,5404.913664024616,180.16378880082053,111995,5450707,817606050,7300.3799276753425,243.3459975891781,39861,1859076,371815200,9327.794084443442,310.92646948144807,14502,606939,136561275,9416.72010757137,313.890670252379,113087,4449999,1334999700,11805.067779674057,393.50225932246855,610242,29994466,3806143425,51220.00457977653,0.1060707331812475,0.1549729873503999,0.19547815920443457,0.13117803130750852,0.18172375530872928,0.06198063336083396,0.020235032689030038,0.14836066759781621,4.603197176051269,14.16448204455729,25.550400333752524,23.633531127793386,44.221748521254426,19.271419507108163,6.351587973338437,58.380257894330434,196.17662457818594
2018-12-01,21,60543,3185369,79634225,1315.333316816147,43.84444389387157,83819,4626018,231300900,2759.5282692468295,91.98427564156098,111130,5855379,439153425,3951.709034464141,131.72363448213804,73091,4003323,400332300,5477.176396546771,182.57254655155901,112487,5505407,825811050,7341.391005182822,244.71303350609406,40291,1890857,378171400,9386.001836638456,312.8667278879485,14304,600365,135082125,9443.66086409396,314.78869546979865,113507,4488790,1346637000,11863.911476825218,395.46371589417396,609172,30155508,3836122425,51538.71219981434,0.10563141566044916,0.15340540772849856,0.19417278594676635,0.13275594627687917,0.1825672112703258,0.06270353661427293,0.019908966547670163,0.14885472995513788,4.63135067735479,14.110885309404262,25.57714508243028,24.23759118163179,44.67657608870939,19.617850327509746,6.267117607692952,58.86664463648263,197.98516091121584
2019-01-01,22,62941,3300992,82524800,1311.145358351472,43.7048452783824,88424,4895008,244750400,2767.918212250068,92.2639404083356,114816,6032210,452415750,3940.3545673076924,131.34515224358975,76132,4148946,414894600,5449.674249986865,181.6558083328955,115555,5663359,849503850,7351.510968802735,245.05036562675784,41658,1957056,391411200,9395.823131211291,313.1941043737097,14448,607581,136705725,9461.913413621263,315.3971137873754,116042,4596264,1378879200,11882.58733906689,396.086244635563,630016,31201416,3951085525,51560.92724059828,0.10579622412008481,0.1568841619239332,0.19333128983633308,0.13297300353291658,0.18150967891970032,0.06272330717298215,0.019472866231455648,0.14730946826259422,4.623807606205375,14.474750966761446,25.393127697002743,24.15531844322493,44.47901318406798,19.644570013399225,6.141685806568757,58.3472540833926,197.25952780062306
2019-02-01,23,54657,2878611,71965275,1316.6707832482573,43.889026108275246,76390,4192778,209638900,2744.3238643801546,91.47746214600515,99541,5238145,392860875,3946.724214142916,131.55747380476387,66096,3597824,359782400,5443.330912611958,181.44436375373195,100118,4901549,735232350,7343.657983579376,244.78859945264588,37166,1728523,345704600,9301.635903783028,310.05453012610093,12582,525328,118198800,9394.277539341918,313.1425846447306,102314,4015395,1204618500,11773.74064155443,392.4580213851477,548864,27078153,3438001700,51264.361842642036,0.10630750923078099,0.1548398814350447,0.19344543182099605,0.13286814650910644,0.1810148941842525,0.06383459758130475,0.019400436950038652,0.1482891022884759,4.665733048135459,14.164359392666228,25.449192329441924,24.10817630648246,44.31038242743207,19.792206158860182,6.075102969772238,58.19724767711502,196.7624003099056
