date,prescriptions_25,pills_25,total_prescribed_dose_25,total_dose_per_prescription_25,average_daily_dose_25,prescriptions_50,pills_50,total_prescribed_dose_50,total_dose_per_prescription_50,average_daily_dose_50,prescriptions_75,pills_75,total_prescribed_dose_75,total_dose_per_prescription_75,average_daily_dose_75,prescriptions_100,pills_100,total_prescribed_dose_100,total_dose_per_prescription_100,average_daily_dose_100,prescriptions_150,pills_150,total_prescribed_dose_150,total_dose_per_prescription_150,average_daily_dose_150,prescriptions_200,pills_200,total_prescribed_dose_200,total_dose_per_prescription_200,average_daily_dose_200,prescriptions_225,pills_225,total_prescribed_dose_225,total_dose_per_prescription_225,average_daily_dose_225,prescriptions_300,pills_300,total_prescribed_dose_300,total_dose_per_prescription_300,average_daily_dose_300,prescriptions_total,pills_total,dose_total,dose_per_prescription_total,average_daily_dose_total
2018-03-01,54383,2816284,70407100,1294.652740746189,43.1550913582063,75636,4129477,206473850,2729.8356602675976,90.99452200891992,106427,5525527,414414525,3893.885245285501,129.79617484285004,64744,3482647,348264700,5379.103855183492,179.30346183944974,106997,5196521,779478150,7285.04677701244,242.8348925670813,37006,1737792,347558400,9391.947251797006,313.06490839323357,14337,613164,137961900,9622.787193973634,320.7595731324545,108630,4330263,1299078900,11958.748964374483,398.6249654791494,568160,27831675,3603637525,6342.645601591101,211.4215200530367
2018-04-01,53579,2797979,69949475,1305.5390171522424,43.51796723840808,73638,4019922,200996100,2729.5160107553165,90.98386702517722,103583,5380284,403521300,3895.632487956518,129.85441626521728,63449,3424469,342446900,5397.1993254424815,179.90664418141606,103575,5050298,757544700,7313.972483707458,243.7990827902486,35914,1684047,336809400,9378.22019268252,312.607339756084,13769,586324,131922900,9581.153315418695,319.37177718062316,105120,4195388,1258616400,11973.139269406392,399.10464231354644,552627,27138711,3501807175,6336.655963244648,211.22186544148826
2018-05-01,57141,2969373,74234325,1299.1429096445634,43.30476365481878,77999,4257485,212874250,2729.192040923602,90.97306803078672,108737,5637422,422806650,3888.3420546823986,129.61140182274661,66546,3615328,361532800,5432.825413999339,181.09418046664462,109214,5312530,796879500,7296.495870492794,243.21652901642648,38133,1781296,356259200,9342.543204048987,311.4181068016329,14479,612278,137762550,9514.645348435666,317.15484494785557,110134,4406913,1322073900,12004.230301269363,400.1410100423121,582383,28592625,3684423175,6326.460722582905,210.88202408609683
2018-06-01,56031,2925160,73129000,1305.1525048633791,43.50508349544597,77197,4228761,211438050,2738.9412801015583,91.29804267005194,107074,5578184,418363800,3907.239852812074,130.24132842706913,66418,3594736,359473600,5412.2918485952605,180.40972828650868,106172,5170520,775578000,7304.920317974607,243.4973439324869,37374,1755969,351193800,9396.741049927758,313.2247016642586,13926,592431,133296975,9571.80633347695,319.06021111589837,107764,4293692,1288107600,11953.041832151739,398.4347277383913,571956,28139453,3610580825,6312.689831035954,210.42299436786513
2018-07-01,57553,2995502,74887550,1301.1928135805258,43.37309378601753,79305,4333629,216681450,2732.254586722149,91.0751528907383,108768,5645929,423444675,3893.099762797882,129.76999209326272,68321,3693922,369392200,5406.715358381757,180.2238452793919,108571,5275901,791385150,7289.102522773116,242.9700840924372,38609,1795738,359147600,9302.173068455542,310.07243561518476,14170,597894,134526150,9493.729710656316,316.4576570218772,109984,4360600,1308180000,11894.275530986326,396.47585103287753,585281,28699115,3677644775,6283.554010808483,209.4518003602828
2018-08-01,60058,3117133,77928325,1297.5511172533218,43.25170390844406,81790,4465101,223255050,2729.6130333781634,90.98710111260544,111853,5847393,438554475,3920.8110198206573,130.69370066068856,70611,3792264,379226400,5370.641967965331,179.0213989321777,112288,5424853,813727950,7246.793513109148,241.55978377030493,39739,1841499,368299800,9267.96849442613,308.93228314753765,14713,617418,138919050,9441.925508054102,314.7308502684701,113598,4487255,1346176500,11850.353879469709,395.01179598232363,604650,29592916,3786087550,6261.618374266104,208.7206124755368
2018-09-01,56229,2937379,73434475,1305.989347134041,43.532978237801366,76909,4230454,211522700,2750.2984046080433,91.67661348693477,104733,5475004,410625300,3920.686889519063,130.68956298396876,66717,3608077,360807700,5408.032435511189,180.26774785037296,104779,5089885,763482750,7286.600845589288,242.88669485297626,37316,1736527,347305400,9307.144388466073,310.2381462822024,13655,572658,128848050,9435.961186378616,314.53203954595386,105640,4177074,1253122200,11862.194244604316,395.40647482014384,565978,27827058,3549148575,6270.824263487273,209.02747544957577
2018-10-01,62436,3260681,81517025,1305.6093439682234,43.52031146560744,85935,4707880,235394000,2739.2098679234305,91.30699559744768,115275,6034627,452597025,3926.2374756018216,130.87458252006073,74190,4009160,400916000,5403.908882598733,180.13029608662444,115355,5603608,840541200,7286.560617225088,242.88535390750295,41016,1915621,383124200,9340.847474156426,311.36158247188087,14809,619854,139467150,9417.72908366534,313.9243027888446,115961,4568666,1370599800,11819.489311061478,393.9829770353826,624977,30720097,3904156400,6246.880125188607,208.2293375062869
2018-11-01,61093,3181535,79538375,1301.9228880559147,43.39742960186382,84762,4648332,232416600,2741.990514617399,91.39968382057997,112145,5863263,439744725,3921.2156137143875,130.70718712381293,72797,3934615,393461500,5404.913664024616,180.16378880082053,111995,5450707,817606050,7300.3799276753425,243.3459975891781,39861,1859076,371815200,9327.794084443442,310.92646948144807,14502,606939,136561275,9416.72010757137,313.890670252379,113087,4449999,1334999700,11805.067779674057,393.50225932246855,610242,29994466,3806143425,6237.104992773358,207.90349975911195
2018-12-01,60543,3185369,79634225,1315.333316816147,43.84444389387157,83819,4626018,231300900,2759.5282692468295,91.98427564156098,111130,5855379,439153425,3951.709034464141,131.72363448213804,73091,4003323,400332300,5477.176396546771,182.57254655155901,112487,5505407,825811050,7341.391005182822,244.71303350609406,40291,1890857,378171400,9386.001836638456,312.8667278879485,14304,600365,135082125,9443.66086409396,314.78869546979865,113507,4488790,1346637000,11863.911476825218,395.46371589417396,609172,30155508,3836122425,6297.273060810411,209.90910202701372
